date,effective_on,type,title,document_number,citation,url,pdf_url,agency,scope
2012-05-01,2012-09-18,Notice,Extension and Redesignation of Somalia for Temporary Protected Status,2012-10388,77 FR 25723,https://www.federalregister.gov/documents/2012/05/01/2012-10388/extension-and-redesignation-of-somalia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2012-05-01/pdf/2012-10388.pdf,Homeland Security Department,country
2012-10-01,2013-01-23,Notice,Extension of the Designation of Haiti for Temporary Protected Status,2012-23826,77 FR 59943,https://www.federalregister.gov/documents/2012/10/01/2012-23826/extension-of-the-designation-of-haiti-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2012-10-01/pdf/2012-23826.pdf,Homeland Security Department,country
2012-12-28,,Notice,Extension of the Re-registration Period for Haiti Temporary Protected Status,2012-31032,77 FR 76503,https://www.federalregister.gov/documents/2012/12/28/2012-31032/extension-of-the-re-registration-period-for-haiti-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2012-12-28/pdf/2012-31032.pdf,Homeland Security Department,country
2013-01-09,2013-05-03,Notice,Extension and Redesignation of Sudan for Temporary Protected Status,2013-00049,78 FR 1872,https://www.federalregister.gov/documents/2013/01/09/2013-00049/extension-and-redesignation-of-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2013-01-09/pdf/2013-00049.pdf,Homeland Security Department,country
2013-01-09,2013-05-03,Notice,Extension and Redesignation of South Sudan for Temporary Protected Status,2013-00051,78 FR 1866,https://www.federalregister.gov/documents/2013/01/09/2013-00051/extension-and-redesignation-of-south-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2013-01-09/pdf/2013-00051.pdf,Homeland Security Department,country
2013-04-03,2013-07-06,Notice,Extension of the Designation of Honduras for Temporary Protected Status,2013-07673,78 FR 20123,https://www.federalregister.gov/documents/2013/04/03/2013-07673/extension-of-the-designation-of-honduras-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2013-04-03/pdf/2013-07673.pdf,Homeland Security Department,country
2013-04-03,2013-07-06,Notice,Extension of the Designation of Nicaragua for Temporary Protected Status,2013-07674,78 FR 20128,https://www.federalregister.gov/documents/2013/04/03/2013-07674/extension-of-the-designation-of-nicaragua-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2013-04-03/pdf/2013-07674.pdf,Homeland Security Department,country
2013-05-30,2013-09-10,Notice,Extension of the Designation of El Salvador for Temporary Protected Status,2013-12793,78 FR 32418,https://www.federalregister.gov/documents/2013/05/30/2013-12793/extension-of-the-designation-of-el-salvador-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2013-05-30/pdf/2013-12793.pdf,Homeland Security Department,country
2013-06-17,2013-10-01,Notice,Extension and Redesignation of Syria for Temporary Protected Status,2013-14101,78 FR 36223,https://www.federalregister.gov/documents/2013/06/17/2013-14101/extension-and-redesignation-of-syria-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2013-06-17/pdf/2013-14101.pdf,Homeland Security Department,country
2013-11-01,2014-03-18,Notice,Extension of the Designation of Somalia for Temporary Protected Status,2013-25969,78 FR 65690,https://www.federalregister.gov/documents/2013/11/01/2013-25969/extension-of-the-designation-of-somalia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2013-11-01/pdf/2013-25969.pdf,Homeland Security Department,country
2013-11-06,,Notice,Extension of the Designation of Somalia for Temporary Protected Status,C1-2013-25969,78 FR 66756,https://www.federalregister.gov/documents/2013/11/06/C1-2013-25969/extension-of-the-designation-of-somalia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2013-11-06/pdf/C1-2013-25969.pdf,Homeland Security Department,country
2014-03-03,2014-07-23,Notice,Extension of the Designation of Haiti for Temporary Protected Status,2014-04593,79 FR 11808,https://www.federalregister.gov/documents/2014/03/03/2014-04593/extension-of-the-designation-of-haiti-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2014-03-03/pdf/2014-04593.pdf,Homeland Security Department,country
2014-05-02,,Notice,Extension of the Re-registration Period for Haiti Temporary Protected Status,2014-10177,79 FR 25141,https://www.federalregister.gov/documents/2014/05/02/2014-10177/extension-of-the-re-registration-period-for-haiti-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2014-05-02/pdf/2014-10177.pdf,Homeland Security Department,country
2014-09-02,2014-11-03,Notice,Extension of the Designation of Sudan for Temporary Protected Status,2014-20708,79 FR 52027,https://www.federalregister.gov/documents/2014/09/02/2014-20708/extension-of-the-designation-of-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2014-09-02/pdf/2014-20708.pdf,Homeland Security Department,country
2014-09-02,2014-11-03,Notice,Extension and Redesignation of South Sudan for Temporary Protected Status,2014-20709,79 FR 52019,https://www.federalregister.gov/documents/2014/09/02/2014-20709/extension-and-redesignation-of-south-sudan-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2014-09-02/pdf/2014-20709.pdf,Homeland Security Department,country
2014-10-16,2015-01-06,Notice,Extension of the Designation of Honduras for Temporary Protected Status,2014-24559,79 FR 62170,https://www.federalregister.gov/documents/2014/10/16/2014-24559/extension-of-the-designation-of-honduras-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2014-10-16/pdf/2014-24559.pdf,Homeland Security Department,country
2014-10-16,2015-01-06,Notice,Extension of the Designation of Nicaragua for Temporary Protected Status,2014-24560,79 FR 62176,https://www.federalregister.gov/documents/2014/10/16/2014-24560/extension-of-the-designation-of-nicaragua-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2014-10-16/pdf/2014-24560.pdf,Homeland Security Department,country
2014-11-21,2014-11-21,Notice,Designation of Guinea for Temporary Protected Status,2014-27770,79 FR 69511,https://www.federalregister.gov/documents/2014/11/21/2014-27770/designation-of-guinea-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2014-11-21/pdf/2014-27770.pdf,Homeland Security Department,country
2014-11-21,2014-11-21,Notice,Designation of Liberia for Temporary Protected Status,2014-27772,79 FR 69502,https://www.federalregister.gov/documents/2014/11/21/2014-27772/designation-of-liberia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2014-11-21/pdf/2014-27772.pdf,Homeland Security Department,country
2014-11-21,2014-11-21,Notice,Designation of Sierra Leone for Temporary Protected Status,2014-27778,79 FR 69506,https://www.federalregister.gov/documents/2014/11/21/2014-27778/designation-of-sierra-leone-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2014-11-21/pdf/2014-27778.pdf,Homeland Security Department,country
2015-01-05,2015-04-01,Notice,Extension and Redesignation of the Syrian Arab Republic for Temporary Protected Status,2014-30871,80 FR 245,https://www.federalregister.gov/documents/2015/01/05/2014-30871/extension-and-redesignation-of-the-syrian-arab-republic-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2015-01-05/pdf/2014-30871.pdf,Homeland Security Department,country
2015-01-07,2015-03-10,Notice,Extension of the Designation of El Salvador for Temporary Protected Status,2015-00031,80 FR 893,https://www.federalregister.gov/documents/2015/01/07/2015-00031/extension-of-the-designation-of-el-salvador-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2015-01-07/pdf/2015-00031.pdf,Homeland Security Department,country
2015-01-14,,Notice,Extension of the Designation of El Salvador for Temporary Protected Status,C1-2015-00031,80 FR 1930,https://www.federalregister.gov/documents/2015/01/14/C1-2015-00031/extension-of-the-designation-of-el-salvador-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2015-01-14/pdf/C1-2015-00031.pdf,Homeland Security Department,country
2015-06-01,2015-09-18,Notice,Extension of the Designation of Somalia for Temporary Protected Status,2015-13094,80 FR 31056,https://www.federalregister.gov/documents/2015/06/01/2015-13094/extension-of-the-designation-of-somalia-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2015-06-01/pdf/2015-13094.pdf,Homeland Security Department,country
2015-06-24,2015-06-24,Notice,Designation of Nepal for Temporary Protected Status,2015-15576,80 FR 36346,https://www.federalregister.gov/documents/2015/06/24/2015-15576/designation-of-nepal-for-temporary-protected-status,https://www.govinfo.gov/content/pkg/FR-2015-06-24/pdf/2015-15576.pdf,Homeland Security Department,country
2015-06-25,2014-11-21,Notice,"Extension of the Initial Registration Period for Guinea, Liberia, and Sierra Leone Temporary Protected Status",2015-15762,80 FR 36551,https://www.federalregister.gov/documents/2015/06/25/2015-15762/extension-of-the-initial-registration-period-for-guinea-liberia-and-sierra-leone-temporary-protected,https://www.govinfo.gov/content/pkg/FR-2015-06-25/pdf/2015-15762.pdf,Homeland Security Department,country
